"BGS,  DFID,  DPHE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundwater Studies of Arsenic Contamination in Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWDB Water Quality Monitoring Network Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 25 May 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE_ID,SAMPLE_FIELD_ID,SAMPLE_DATE,LAT_DEG,LONG_DEG,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE,,As,Al,B_,Ba,Be,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Gd,HCO3,Ho,I,K,La,Li,Lu,Mg,Mn,Mo,Na,Nd,NH4-N,Ni,NO2-N,NO3-N,P,Pb,Pr,Rb,Sb,Si,Sm,Sn,SO4,Sr,Tb,Tl,Tm,U,V,Y,Yb,Zn
,,,,,,m,,,,,,,,ug/L,ug/L,mg/L,mg/L,ug/L,mg/L,ug/L,ug/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,mg/L,mg/L,ug/L,mg/L,ug/L,mg/L,mg/L,ug/L,ug/L,ug/L,mg/L,mg/L,ug/L,mg/L,ug/L,mg/L,ug/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,mg/L,ug/L,ug/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
S98_01794,PARBT-8,24/07/98,25.6530,88.9150,HTW,20,Rajshahi,Dinajpur,Parbatipur,Parbatipur,Parbatipur,52777,S98_01794,0.8,4,< 0.01,0.048,< 0.05,23.8,0.14,0.009,32.3,0.62,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.2,1.65,< 0.01,120,< 0.005,0.0046,2.5,< 0.005,2,< 0.005,10.2,0.647,0.1,23.8,< 0.01,< 0.02,1.3,< 0.004,< 0.2,< 0.2,0.97,< 0.005,8.2,< 0.02,22,< 0.01,1.3,15.4,0.157,< 0.005,0.02,< 0.005,0.05,< 0.2,0.01,< 0.008,23
S98_01795,HAKM-9,22/07/98,25.2880,89.0210,HTW,21,Rajshahi,Dinajpur,Hakimpur,Hakimpur,Hakimpur,52747,S98_01795,0.9,3,0.02,0.016,< 0.05,21.9,0.08,0.007,21.2,0.58,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.07,0.224,< 0.01,106,< 0.005,0.003,1.6,< 0.005,2.4,< 0.005,9.01,0.469,< 0.1,14.5,< 0.01,< 0.02,3.3,< 0.004,1.4,< 0.2,0.16,< 0.005,0.2,< 0.02,12.7,< 0.01,1,7.3,0.188,< 0.005,< 0.01,< 0.005,0.02,0.6,0.042,< 0.008,21
S98_01796,CHIL-10,25/07/98,26.1000,88.8000,HTW,24,Rajshahi,Nilphamari,Domar,Chilahati,Chilahati,57315,S98_01796,< 0.5,4,< 0.01,0.015,< 0.05,15.5,0.06,0.02,13.4,0.56,< 0.5,< 0.05,< 1,< 0.01,0.02,< 0.006,0.16,0.356,< 0.01,95,< 0.005,0.016,2.8,0.012,0.8,< 0.005,3.74,6.2,< 0.1,12.1,< 0.01,< 0.02,0.7,< 0.004,< 0.2,< 0.2,0.24,< 0.005,0.2,< 0.02,12.9,0.01,1.5,< 0.2,0.115,< 0.005,< 0.01,< 0.005,0.02,< 0.2,0.204,0.012,13
S98_01797,NIL-11,24/07/98,25.9000,88.8000,HTW,18,Rajshahi,Nilphamari,Nilphamari Sadar,Nilphamari,Nilphamari,57364,S98_01797,1.9,3,< 0.01,0.022,< 0.05,13.8,0.02,0.005,32.9,0.53,< 0.5,< 0.05,< 1,< 0.01,< 0.01,0.007,0.19,0.837,< 0.01,46,< 0.005,0.0051,2.7,< 0.005,3,< 0.005,4.31,1.48,0.4,25.4,< 0.01,0.37,0.8,0.004,< 0.2,< 0.2,0.33,< 0.005,2.7,0.03,15.8,< 0.01,1.3,4.3,0.0652,< 0.005,< 0.01,< 0.005,0.02,< 0.2,0.011,0.014,3
S98_01798,BRUT-12,25/07/98,26.2030,89.1100,HTW,,Rajshahi,Lalmonirhat,Hatibandha,Barakhta,Barakhta,55233,S98_01798,< 0.5,16,0.02,0.062,< 0.05,16.4,0.39,0.017,33.4,0.19,2.6,0.51,1,< 0.01,0.01,< 0.006,0.1,0.271,< 0.01,37,< 0.005,0.0024,13.6,0.009,0.3,< 0.005,2.67,0.212,0.5,14,0.01,< 0.02,1.2,0.015,8.3,< 0.2,7.58,< 0.005,38.2,0.11,8.12,< 0.01,1.3,6.9,0.0693,< 0.005,0.11,< 0.005,0.27,0.8,0.039,0.01,12
S98_01799,JAL-13,25/07/98,25.9310,88.8380,HTW,27,Rajshahi,Nilphamari,Jaldhaka,Jaldhaka,Jaldhaka,57336,S98_01799,< 0.5,3,< 0.01,0.006,< 0.05,8.09,0.06,0.005,3.1,0.09,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.07,0.018,< 0.01,44,< 0.005,< 0.0008,2.4,< 0.005,0.2,< 0.005,1.01,0.222,< 0.1,6.2,< 0.01,< 0.02,0.5,< 0.004,< 0.2,< 0.2,0.35,< 0.005,3.5,0.03,9.56,< 0.01,0.8,1.6,0.0356,< 0.005,0.03,< 0.005,0.17,0.8,0.008,< 0.008,11
S98_01800,RANG-14,26/07/98,25.7520,89.2530,HTW,18,Rajshahi,Rangpur,Rangpur Sadar,Rangipur,Rangipur,58549,S98_01800,< 0.5,4,0.01,0.024,< 0.05,13.3,0.15,0.011,3.5,0.32,< 0.5,< 0.05,1,< 0.01,0.01,< 0.006,0.12,0.988,< 0.01,31,< 0.005,0.0013,7,0.02,0.6,< 0.005,2.24,0.133,0.3,10.1,0.02,< 0.02,2.4,0.023,3.3,< 0.2,0.71,< 0.005,5.4,0.27,11.5,< 0.01,1.4,27.6,0.0248,< 0.005,0.01,< 0.005,0.07,< 0.2,0.103,0.013,96
S98_01801,LALM-15,25/07/98,25.9130,89.4360,HTW,14,Rajshahi,Lalmonirhat,Lalmonirhat Sadar,Lalmonihat,Lalmonihat,55255,S98_01801,4,4,< 0.01,0.034,< 0.05,9.19,0.09,0.038,8.1,0.13,0.6,0.08,1,0.02,0.02,0.007,0.12,9.07,< 0.01,46,< 0.005,0.0021,4,0.019,0.7,< 0.005,2.27,0.691,0.6,7.3,0.03,< 0.02,1.3,< 0.004,< 0.2,0.5,1.31,0.005,14.3,0.03,11.7,0.01,1.5,3.1,0.0463,< 0.005,0.05,< 0.005,0.01,0.3,0.109,0.008,20
S98_01802,NAGUR-16,26/07/98,25.9650,89.6710,HTW,18,Rajshahi,Kurigram,Nageshwari,Nagieshwari,Nagieshwari,54961,S98_01802,< 0.5,4,0.03,0.073,< 0.05,41.6,0.2,0.053,52.4,1.19,< 0.5,< 0.05,1,0.03,0.03,0.018,0.2,0.182,0.03,187,0.01,0.0057,9.3,0.05,1.6,< 0.005,14,1.96,< 0.1,33.3,0.06,< 0.02,3,0.015,2.9,< 0.2,0.8,0.011,0.2,0.05,14.2,< 0.01,1.1,13.7,0.201,< 0.005,< 0.01,< 0.005,0.41,0.4,0.296,0.026,17
S98_01803,ULI-17,26/07/98,25.6530,89.6230,HTW,18,Rajshahi,Kurigram,Ulipur,Ulipur,Ulipur,54994,S98_01803,0.6,5,< 0.01,0.024,< 0.05,19.7,0.08,0.011,7.7,0.52,< 0.5,< 0.05,< 1,< 0.01,0.01,< 0.006,0.2,2.13,< 0.01,122,< 0.005,0.0038,2.3,0.008,3,< 0.005,9.61,0.242,0.2,12.1,< 0.01,< 0.02,2,0.012,0.3,< 0.2,0.96,< 0.005,0.6,0.04,16.8,< 0.01,1.1,6.5,0.0806,< 0.005,< 0.01,< 0.005,0.12,0.7,0.02,< 0.008,10
